"행정구역","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_0세","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_0세","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_0세"
"서울특별시 성동구 왕십리제2동(1120052000)","16,296","108","108","7,866","55","55","8,430","53","53"
"서울특별시 성동구 왕십리도선동(1120053500)","26,603","134","134","12,549","58","58","14,054","76","76"
"서울특별시 성동구 마장동(1120054000)","22,321","117","117","11,003","64","64","11,318","53","53"
"서울특별시 성동구 사근동(1120055000)","12,157","38","38","6,351","18","18","5,806","20","20"
"서울특별시 성동구 행당제1동(1120056000)","13,834","80","80","6,648","53","53","7,186","27","27"
"서울특별시 성동구 행당제2동(1120057000)","23,109","151","151","10,800","82","82","12,309","69","69"
"서울특별시 성동구 응봉동(1120058000)","15,187","75","75","7,250","41","41","7,937","34","34"
"서울특별시 성동구 금호1가동(1120059000)","15,054","97","97","7,185","56","56","7,869","41","41"
"서울특별시 성동구 금호2.3가동(1120061500)","22,453","168","168","10,697","89","89","11,756","79","79"
"서울특별시 성동구 금호4가동(1120062000)","14,203","114","114","6,729","62","62","7,474","52","52"
"서울특별시 성동구 옥수동(1120064500)","25,781","217","217","11,982","103","103","13,799","114","114"
"서울특별시 성동구 성수1가제1동(1120065000)","16,333","125","125","8,109","61","61","8,224","64","64"
"서울특별시 성동구 성수1가제2동(1120066000)","12,233","65","65","6,006","36","36","6,227","29","29"
"서울특별시 성동구 성수2가제1동(1120067000)","15,510","65","65","8,103","36","36","7,407","29","29"
"서울특별시 성동구 성수2가제3동(1120069000)","10,646","47","47","5,323","23","23","5,323","24","24"
"서울특별시 성동구 송정동(1120072000)","10,257","41","41","5,420","24","24","4,837","17","17"
"서울특별시 성동구 용답동(1120079000)","11,626","15","15","6,029","10","10","5,597","5","5"
"서울특별시 광진구 (1121500000)","339,567","1,224","1,224","163,692","630","630","175,875","594","594"
"서울특별시 광진구 화양동(1121571000)","23,754","32","32","11,277","21","21","12,477","11","11"
"서울특별시 광진구 군자동(1121573000)","19,560","67","67","9,693","33","33","9,867","34","34"
"서울특별시 광진구 중곡제1동(1121574000)","15,282","61","61","7,368","25","25","7,914","36","36"
"서울특별시 광진구 중곡제2동(1121575000)","21,105","70","70","9,942","38","38","11,163","32","32"
"서울특별시 광진구 중곡제3동(1121576000)","16,045","58","58","7,939","23","23","8,106","35","35"
"서울특별시 광진구 중곡제4동(1121577000)","28,190","81","81","13,794","44","44","14,396","37","37"
"서울특별시 광진구 능동(1121578000)","11,285","45","45","5,197","28","28","6,088","17","17"
"서울특별시 광진구 광장동(1121581000)","34,370","101","101","16,628","58","58","17,742","43","43"
"서울특별시 광진구 자양제1동(1121582000)","22,089","66","66","10,739","38","38","11,350","28","28"
"서울특별시 광진구 자양제2동(1121583000)","24,129","117","117","11,706","56","56","12,423","61","61"
"서울특별시 광진구 자양제3동(1121584000)","27,755","153","153","13,267","81","81","14,488","72","72"
"서울특별시 광진구 자양제4동(1121584700)","17,999","58","58","8,979","30","30","9,020","28","28"
"서울특별시 광진구 구의제1동(1121585000)","23,402","74","74","11,148","30","30","12,254","44","44"
"서울특별시 광진구 구의제2동(1121586000)","26,194","97","97","12,594","52","52","13,600","45","45"
"서울특별시 광진구 구의제3동(1121587000)","28,408","144","144","13,421","73","73","14,987","71","71"
"서울특별시 동대문구 (1123000000)","337,233","1,390","1,390","166,170","686","686","171,063","704","704"
"서울특별시 동대문구 용신동(1123053600)","32,778","115","115","16,367","50","50","16,411","65","65"
