,결과,득점_득점,공격종합성공률,후위성공률,퀵오픈성공률,서브성공률,디그성공률,세트성공률,리시브성공률,블로킹성공률,팀명_KB손해보험,팀명_OK금융그룹,팀명_대한항공,팀명_삼성화재,팀명_우리카드,팀명_한국전력,팀명_현대캐피탈,상대팀_KB손해보험,상대팀_OK금융그룹,상대팀_대한항공,상대팀_삼성화재,상대팀_우리카드,상대팀_한국전력,상대팀_현대캐피탈
1129,0,41,0.4230769230769231,0.3,0.6428571428571429,0.012658227848101266,0.6458333333333334,0.43956043956043955,0.3055555555555556,0.15555555555555556,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1130,0,29,0.4642857142857143,0.3684210526315789,0.75,0.0,0.7692307692307693,0.4117647058823529,0.3333333333333333,0.15789473684210525,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1131,0,66,0.5148514851485149,0.5833333333333334,0.5833333333333334,0.03773584905660377,0.7659574468085106,0.494949494949495,0.4794520547945205,0.17543859649122806,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1132,0,13,0.34615384615384615,0.3333333333333333,0.6,0.027777777777777776,0.6153846153846154,0.44155844155844154,0.4418604651162791,0.25,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1133,0,69,0.5229357798165137,0.4482758620689655,0.6296296296296297,0.04040404040404041,0.5740740740740741,0.4852941176470588,0.5,0.1702127659574468,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1134,0,43,0.6065573770491803,0.7857142857142857,0.7272727272727273,0.046875,0.4666666666666667,0.5555555555555556,0.40350877192982454,0.10714285714285714,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1135,0,47,0.4634146341463415,0.42857142857142855,0.6428571428571429,0.03278688524590164,0.7105263157894737,0.4431818181818182,0.31746031746031744,0.16279069767441862,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1136,0,35,0.4722222222222222,0.45454545454545453,0.6666666666666666,0.0,0.5952380952380952,0.45454545454545453,0.2909090909090909,0.037037037037037035,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1137,1,54,0.589041095890411,0.6428571428571429,0.8888888888888888,0.1,0.7567567567567568,0.4936708860759494,0.45098039215686275,0.1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1138,1,63,0.5222222222222223,0.5833333333333334,0.6086956521739131,0.11538461538461539,0.8,0.4153846153846154,0.5076923076923077,0.175,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1139,1,53,0.5,0.46153846153846156,0.5384615384615384,0.12,0.7272727272727273,0.47540983606557374,0.52,0.3076923076923077,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1140,0,54,0.5844155844155844,0.5263157894736842,0.5714285714285714,0.07692307692307693,0.6551724137931034,0.5512820512820513,0.5161290322580645,0.125,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1141,1,75,0.5238095238095238,0.4838709677419355,0.6538461538461539,0.09900990099009901,0.8113207547169812,0.4954128440366973,0.56,0.14705882352941177,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1142,1,50,0.6065573770491803,0.5833333333333334,0.8,0.041666666666666664,0.7058823529411765,0.6065573770491803,0.4523809523809524,0.25,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1143,1,89,0.5583333333333333,0.6571428571428571,0.7692307692307693,0.15178571428571427,0.7246376811594203,0.532258064516129,0.5064935064935064,0.09090909090909091,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1144,1,78,0.5648148148148148,0.68,0.625,0.057692307692307696,0.7,0.5495495495495496,0.43820224719101125,0.2037037037037037,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1145,0,62,0.5520833333333334,0.5454545454545454,0.7368421052631579,0.047058823529411764,0.7555555555555555,0.5425531914893617,0.45569620253164556,0.11627906976744186,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1146,1,70,0.4791666666666667,0.65,0.35,0.05504587155963303,0.8,0.4489795918367347,0.5,0.29508196721311475,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1147,1,77,0.5412844036697247,0.7307692307692307,0.48,0.0625,0.7555555555555555,0.5384615384615384,0.5274725274725275,0.14864864864864866,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1148,1,80,0.4576271186440678,0.3783783783783784,0.55,0.09821428571428571,0.7547169811320755,0.4444444444444444,0.5888888888888889,0.23809523809523808,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1149,1,63,0.4864864864864865,0.3333333333333333,0.6428571428571429,0.10256410256410256,0.7272727272727273,0.47297297297297297,0.6410256410256411,0.3584905660377358,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1150,1,54,0.5526315789473685,0.5714285714285714,0.6666666666666666,0.056338028169014086,0.7560975609756098,0.52,0.40350877192982454,0.2962962962962963,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1151,1,54,0.5909090909090909,0.6190476190476191,0.7777777777777778,0.08571428571428572,0.725,0.5538461538461539,0.5,0.23684210526315788,0,0,0,0,0,0,1,1,0,0,0,0,0,0
